iter	Passed	Remaining
634	1060	609
635	1061	607
636	1063	606
637	1065	604
638	1066	602
639	1068	601
640	1070	599
641	1071	597
642	1073	595
643	1074	594
644	1076	592
645	1077	590
646	1079	588
647	1081	587
648	1084	586
649	1085	584
650	1087	582
651	1088	580
652	1090	579
653	1091	577
654	1092	575
655	1093	573
656	1095	572
657	1097	570
658	1099	568
659	1100	566
660	1101	565
661	1103	563
662	1104	561
663	1105	559
664	1107	557
665	1109	556
666	1110	554
667	1112	552
668	1113	551
669	1115	549
670	1116	547
671	1118	545
672	1119	543
673	1120	542
674	1122	540
675	1123	538
676	1125	537
677	1127	535
678	1128	533
679	1129	531
680	1131	529
681	1132	528
682	1134	526
683	1135	524
684	1136	522
685	1138	520
686	1139	519
687	1141	517
688	1143	515
689	1144	514
690	1146	512
691	1147	510
692	1149	509
693	1150	507
694	1152	505
695	1154	504
696	1156	502
697	1157	500
698	1158	498
699	1160	497
700	1161	495
701	1162	493
702	1164	491
703	1165	490
704	1166	488
705	1168	486
706	1170	484
707	1171	483
708	1173	481
709	1174	479
710	1175	477
711	1176	476
712	1178	474
713	1179	472
714	1181	470
715	1183	469
716	1185	467
717	1186	466
718	1188	464
719	1189	462
720	1190	460
721	1192	459
722	1193	457
723	1194	455
724	1197	454
725	1198	452
726	1201	450
727	1202	449
728	1203	447
729	1204	445
730	1206	443
731	1207	442
732	1208	440
733	1210	438
734	1211	436
735	1213	435
736	1215	433
737	1217	432
738	1218	430
739	1219	428
740	1221	426
741	1222	425
742	1224	423
743	1225	421
744	1226	419
745	1228	418
746	1230	416
747	1232	415
748	1233	413
749	1235	411
750	1236	410
751	1238	408
752	1239	406
753	1241	405
754	1243	403
755	1245	401
756	1246	400
757	1248	398
758	1249	396
759	1251	395
760	1252	393
761	1254	391
762	1255	390
763	1257	388
764	1258	386
765	1260	385
766	1261	383
767	1262	381
768	1264	379
769	1265	378
770	1266	376
771	1268	374
772	1269	372
773	1271	371
774	1273	369
775	1274	367
776	1275	366
777	1277	364
778	1278	362
779	1280	361
780	1282	359
781	1283	357
782	1285	356
783	1286	354
784	1288	352
785	1290	351
786	1291	349
787	1293	347
788	1294	346
789	1295	344
790	1297	342
791	1298	341
792	1300	339
793	1302	337
794	1303	336
795	1305	334
796	1306	332
797	1307	331
798	1308	329
799	1310	327
800	1311	325
801	1313	324
802	1315	322
803	1316	321
804	1318	319
805	1319	317
806	1320	315
807	1322	314
808	1323	312
809	1324	310
810	1326	309
811	1327	307
812	1329	305
813	1330	304
814	1332	302
815	1333	300
816	1335	299
817	1336	297
818	1337	295
819	1338	293
820	1340	292
821	1342	290
822	1345	289
823	1347	287
824	1348	286
825	1350	284
826	1352	282
827	1353	281
828	1355	279
829	1356	277
830	1358	276
831	1360	274
832	1362	273
833	1364	271
834	1365	269
835	1367	268
836	1368	266
837	1370	264
838	1371	263
839	1373	261
840	1375	260
841	1377	258
842	1378	256
843	1380	255
844	1381	253
845	1383	251
846	1384	250
847	1385	248
848	1387	246
849	1389	245
850	1390	243
851	1392	241
852	1394	240
853	1395	238
854	1397	236
855	1398	235
856	1399	233
857	1401	231
858	1402	230
859	1404	228
860	1406	227
861	1407	225
862	1409	223
863	1410	222
864	1411	220
865	1413	218
866	1414	216
867	1416	215
868	1418	213
869	1420	212
870	1421	210
871	1423	208
872	1424	207
873	1426	205
874	1427	203
875	1429	202
876	1431	200
877	1435	199
878	1436	197
879	1438	196
880	1439	194
881	1441	192
882	1442	191
883	1443	189
884	1445	187
885	1447	186
886	1449	184
887	1450	182
888	1452	181
889	1453	179
890	1455	178
891	1456	176
892	1458	174
893	1460	173
894	1461	171
895	1463	169
896	1464	168
897	1466	166
898	1467	164
899	1468	163
900	1470	161
901	1471	159
902	1473	158
903	1474	156
904	1476	154
905	1477	153
906	1479	151
907	1481	150
908	1482	148
909	1483	146
910	1485	145
911	1486	143
912	1487	141
913	1489	140
914	1490	138
915	1492	136
916	1494	135
917	1495	133
918	1496	131
919	1497	130
920	1499	128
921	1500	126
922	1501	125
923	1503	123
924	1504	122
925	1506	120
926	1507	118
927	1508	117
928	1510	115
929	1511	113
930	1512	112
931	1514	110
932	1515	108
933	1517	107
934	1518	105
935	1519	103
936	1521	102
937	1522	100
938	1523	98
939	1524	97
940	1526	95
941	1527	94
942	1528	92
943	1530	90
944	1531	89
945	1532	87
946	1534	85
947	1535	84
948	1536	82
949	1538	80
950	1539	79
951	1540	77
952	1542	76
953	1543	74
954	1544	72
955	1546	71
956	1547	69
957	1548	67
958	1551	66
959	1552	64
960	1554	63
961	1555	61
962	1557	59
963	1559	58
964	1560	56
965	1562	54
966	1566	53
967	1567	51
968	1569	50
969	1570	48
970	1571	46
971	1573	45
972	1574	43
973	1575	42
974	1577	40
975	1580	38
976	1583	37
977	1584	35
978	1585	34
979	1587	32
980	1588	30
981	1590	29
982	1592	27
983	1594	25
984	1596	24
985	1597	22
986	1599	21
987	1600	19
988	1601	17
989	1602	16
990	1604	14
991	1605	12
992	1606	11
993	1608	9
994	1610	8
995	1612	6
996	1613	4
997	1614	3
998	1616	1
999	1617	0
